,player,made layup,missed layup,Assist,Turnover,defensive rebound,enters the game,goes to the bench,missed 3-pt. jump shot,Foul,Steal,made free throw,missed free throw,made jump shot,made 3-pt. jump shot,missed jump shot,offensive rebound
0,"MILON,EMANUEL",0,0,0,0,2,2,5,0,2,1,1,1,4,0,1,2
1,"OKADO,MARJOK",3,1,5,3,1,4,4,3,2,0,0,0,0,1,5,0
2,"RANDRIASALAMA,TO",0,2,1,2,0,2,5,0,0,1,0,0,1,0,0,1
3,"RILEY,BEN",0,0,0,2,1,3,6,0,2,0,1,1,0,0,1,0
4,"J-SERAPHIN,REGINALD",0,0,0,1,0,3,7,2,2,0,0,0,0,0,0,1
5,"SPENCER,XAVIER",1,0,1,2,4,6,6,0,4,0,0,0,1,0,3,2
6,"BRAZDEIKIS,AUGUSTAS",1,3,0,4,5,7,3,1,1,1,4,1,0,4,1,3
7,"SMITH,DANIEL",0,1,1,3,6,5,1,2,0,0,0,0,0,3,1,0
8,"DOREY-HAVENS,AUBREY",3,4,5,5,5,5,3,2,4,0,1,2,0,1,1,0
9,"SIMPSON,NOAH",0,0,1,1,3,5,2,0,1,0,0,2,1,0,2,3
10,"CHRISTOPHER,NATHAN",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
